attack_id,attack_name,alert_time,rule_id,rule_level,rule_description,location,agent_id
04,Configuration File Tampering,2026-01-10T17:07:29.303000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.320000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.358000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.377000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.395000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.405000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.412000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.424000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.426000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.428000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.430000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.436000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.439000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.445000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.465000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.468000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.480000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.485000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.488000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.495000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.503000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.517000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.523000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:25.495000+00:00,553,7,File deleted.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:27.415000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.419000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:25.495000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:27.421000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.314000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.329000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.342000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.366000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.411000+00:00,40112,12,Multiple authentication failures followed by a success.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.422000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.432000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.443000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.449000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.457000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.459000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.464000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.464000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.470000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.473000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.476000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.478000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.483000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.511000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.521000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
05,EICAR Test File Download,2026-01-10T17:07:39.421000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
05,EICAR Test File Download,2026-01-10T17:07:39.429000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
05,EICAR Test File Download,2026-01-10T17:07:39.444000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
